# 00ca22c0
Energy: Fighting
1 A1 225
1 A2 088
2 A2 089
2 A2 144
1 A2 150
2 A3 144
1 A4 077
1 B1 223
2 B1 225
2 B1a 042
2 B1a 062
2 P-A 005
1 P-A 007

# 11c84a5c
Energy: Fighting
1 A2 088
2 A2 089
2 A2 144
2 A3 144
2 A4 156
2 B1 225
2 B1a 042
2 B1a 062
1 B1a 065
1 P-A 005
1 P-A 006
2 P-A 007

# 127dad6a
Energy: Fighting
2 A2 089
2 A2 144
1 A2 150
1 A2 155
2 A3 144
1 A4 102
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
2 P-A 005
2 P-A 007

# 14a2f4e3
Energy: Fighting
2 A2 089
2 A2 144
1 A2 148
1 A2 150
2 A2b 066
2 A3 144
1 A4 101
1 B1 109
1 B1 225
1 B1 226
2 B1a 042
2 P-A 005
2 P-A 007

# 16be87ca
Energy: Fighting
1 A1 225
1 A2 088
2 A2 089
2 A2 144
2 A2 148
2 A3 144
1 B1 225
2 B1a 042
2 B1a 062
1 P-A 002
1 P-A 005
1 P-A 006
2 P-A 007

# 1e829d38
Energy: Fighting
1 A1 155
2 A2 089
2 A2 144
1 A2 150
1 A2 155
2 A3 144
2 A4 156
1 B1 225
2 B1a 042
2 B1a 062
2 P-A 005
2 P-A 007

# 1f31a507
Energy: Fighting
1 A2 088
2 A2 089
2 A2 144
1 A2 150
2 A3 144
2 A4 156
1 B1 225
2 B1a 042
1 B1a 055
2 B1a 062
2 P-A 005
2 P-A 007

# 1f5a9b41
Energy: Fighting
2 A2 089
2 A2 144
1 A2 150
2 A3 144
1 A4 102
2 A4 156
1 B1 223
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 P-A 005
2 P-A 007

# 22fdcbf6
Energy: Fighting
1 A1 225
2 A2 089
2 A2 144
2 A2 148
1 A2 150
1 A2b 070
2 A3 144
2 A4 156
2 B1a 042
1 B1a 062
2 B1a 069
2 P-A 007

# 26d2e75b
Energy: Fighting
1 A1 223
1 A2 088
2 A2 089
2 A2 144
1 A2 150
2 A3 144
1 A3a 064
1 A4 156
1 B1 225
2 B1a 042
2 B1a 062
1 B1a 069
1 P-A 005
2 P-A 007

# 28aa6a9d
Energy: Fighting
2 A2 089
2 A2 144
1 A2 150
2 A2b 066
2 A3 144
1 A4 101
1 A4 156
1 B1 109
1 B1 225
2 B1 226
2 B1a 042
1 B1a 069
2 P-A 007

# 2ec604e0
Energy: Fighting
2 A2 089
2 A2 144
1 A2 150
2 A3 144
2 A4 156
1 B1 109
1 B1 223
2 B1 225
2 B1a 042
2 B1a 062
1 P-A 005
2 P-A 007

# 30b6242c
Energy: Fighting
1 A2 088
2 A2 089
2 A2 144
1 A2 150
1 A2b 066
1 A2b 070
1 A3 144
1 A4 156
1 B1 109
1 B1 177
2 B1 225
2 B1 226
1 B1a 042
1 P-A 005
2 P-A 007

# 46005213
Energy: Fighting
2 A2 089
2 A2 144
1 A2 148
1 A2 150
2 A2b 066
2 A3 144
1 A4 101
1 B1 109
1 B1 225
1 B1 226
2 B1a 042
1 P-A 005
1 P-A 006
2 P-A 007

# 48a0ce92
Energy: Fighting
1 A1 154
2 A2 089
2 A2 144
1 A2 150
1 A2 155
2 A3 144
2 A4 156
1 B1 225
2 B1a 042
2 B1a 062
2 P-A 005
2 P-A 007

