# 59f6c655
Energy: Fighting
1 A1 225
1 A2 150
1 A2b 070
1 B1 109
1 B1 225
2 B3 079
2 B3 081
1 B3 149
1 B3 154
2 B3a 034
1 B3a 036
2 B3a 069
2 P-A 005
2 P-A 007

# 975ac2a6
Energy: Fighting
1 A2 092
1 A2 150
1 A2b 070
1 A4 102
2 B1 225
2 B3 079
1 B3 081
1 B3 149
1 B3 154
1 B3a 034
1 B3a 036
1 B3a 069
2 P-A 002
2 P-A 005
2 P-A 007

# bdfe3d99
Energy: Fighting
1 A1 225
1 A2 150
1 A2b 070
1 B1 225
1 B2 145
1 B2 150
2 B3 079
2 B3 081
1 B3 149
1 B3 154
2 B3a 034
1 B3a 036
1 B3a 069
2 P-A 005
2 P-A 007
