# 0162c685
Energy: Lightning
2 A1 098
1 A1 225
1 A2 150
1 A2a 028
1 A3 066
1 B1 223
1 B1 225
2 B1a 024
2 B1a 026
2 B2b 026
2 B2b 027
2 P-A 005
2 P-A 007

# 18b486fd
Energy: Lightning
2 A1 098
1 A2 150
2 A3 066
1 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
1 B2 147
2 B2b 026
2 B2b 027
1 P-A 005
2 P-A 007

# 666714d1
Energy: Lightning
1 A1 098
1 A1 225
1 A2 150
1 A2b 070
1 A3 066
2 B1 225
1 B1a 024
1 B1a 026
2 B2 145
1 B2 153
2 B2b 026
2 B2b 027
2 P-A 005
2 P-A 007

# 8eb47ec8
Energy: Lightning
2 A1 098
1 A2 150
1 A3 066
2 B1 225
1 B1 226
2 B1a 024
2 B1a 026
1 B1a 068
2 B2b 026
2 B2b 027
2 P-A 005
2 P-A 007

# 9412e16e
Energy: Lightning
1 A1 225
2 A2 148
1 A2 150
1 A2b 070
1 A3 066
2 A3a 021
1 B1 225
2 B1a 026
1 B2 147
1 B2 153
1 B2a 086
1 B2b 026
1 B2b 027
2 P-A 005
2 P-A 007

# d9633dfd
Energy: Lightning
1 A1 098
1 A1 225
1 A2 147
1 A2 150
1 A2b 070
2 A3 066
1 A3a 021
1 B1 225
1 B1a 024
1 B1a 026
1 B2 145
1 B2a 086
1 B2b 026
1 B2b 027
1 B2b 069
2 P-A 005
2 P-A 007
