# 2d4bde9f
Energy: Lightning
1 A1 187
2 A1a 057
1 A2 150
1 A2 155
2 A3 066
2 A3 144
1 A3 149
1 A4 066
2 A4 156
1 B1 225
2 P-A 005
2 P-A 007
2 P-B 006

# 38ec0453
Energy: Lightning
2 A1 186
1 A2 150
2 A3 066
2 A3 144
2 A3a 021
1 A4 066
2 A4 151
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007
2 P-B 006

# 6d351653
Energy: Lightning
2 A1 186
1 A1 187
1 A2 150
1 A2 155
2 A3 066
2 A3 144
1 A3 149
1 A4 066
2 A4 156
1 B1 225
2 P-A 005
2 P-A 007
2 P-B 006

# 87b51aec
Energy: Lightning
2 A1a 057
1 A2 150
2 A3 066
2 A3 144
2 A3 149
1 A4 066
1 B1 181
1 B1 223
1 B1 225
1 B1 226
2 P-A 005
2 P-A 007
2 P-B 006

# d7a0c92b
Energy: Lightning
1 A2 150
2 A3 066
2 A3 144
1 A3 149
1 A3 155
1 A4 066
1 A4 156
1 A4a 023
2 B1 180
1 B1 181
1 B1 223
2 P-A 005
2 P-A 007
2 P-B 006
