# 07716e66
Energy: Psychic
1 A1 187
2 A1a 057
1 A2 150
1 A3 142
2 A3 144
2 A3 155
2 A4 066
1 B1 225
1 B1 226
1 B2 145
1 P-A 002
1 P-A 005
2 P-A 007
2 P-B 006

# 2009a330
Energy: Lightning
1 A2 150
2 A3 066
2 A3 144
1 A3a 021
2 A4 066
2 A4 151
2 B1 180
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
2 P-B 006

# 4f691daa
Energy: Lightning
1 A1 223
2 A1a 057
1 A2 146
1 A2 150
2 A3 066
2 A3 144
2 A4 066
1 B1 181
1 B1 225
1 B1 226
2 P-A 005
2 P-A 007
2 P-B 006

# 7d7b62d2
Energy: Lightning
1 A1 225
2 A1a 057
1 A2 150
2 A3 144
1 A3 149
2 A4 066
1 A4a 023
1 B1 181
1 B1 223
1 B1 226
1 B1a 069
2 P-A 005
2 P-A 007
2 P-B 006
