# 27d3d54f
Energy: Darkness, Psychic
2 A2 072
1 A2 148
1 A2 150
2 A2b 070
2 A3 144
2 B1 103
2 B1 225
1 B3a 071
2 B3b 041
1 P-A 002
2 P-A 005
2 P-A 007

# 2ca35f6e
Energy: Darkness
2 A2 072
2 A2 148
1 A2 150
2 A3 144
2 B1 103
1 B1 104
2 B1 109
2 B1 225
1 B1 226
2 B3b 041
1 P-A 005
2 P-A 007

# 548192a2
Energy: Darkness, Psychic
2 A2 070
1 A2 071
2 A2 072
1 A2 146
2 A2 148
1 A2 150
1 A2 155
1 A3 144
1 B1 225
1 B2 145
2 B3b 041
1 B3b 064
2 P-A 005
2 P-A 007

# 64417ea8
Energy: Darkness
1 A2 071
2 A2 072
2 A2 148
1 A2 150
1 A2b 070
2 A3 144
2 B1 103
1 B1 109
1 B1 225
1 B1 226
1 B2 154
2 B3b 041
1 P-A 005
2 P-A 007

# 70f39c60
Energy: Darkness
2 A2 072
2 A2 148
1 A2 150
1 A2b 070
2 A3 144
2 B1 103
1 B1 109
2 B1 225
1 B1 226
1 B2 154
1 B3 147
2 B3b 041
2 P-A 007

# 9e62c482
Energy: Darkness, Psychic
2 A2 072
2 A2 148
1 A2 150
2 A3 144
1 A4 070
1 A4 101
2 B1 103
1 B1 104
2 B1 225
1 B1 226
2 B3b 041
1 P-A 005
2 P-A 007

# cec23feb
Energy: Darkness
1 A2 070
1 A2 071
2 A2 072
2 A2 148
1 A2 150
1 A2b 070
2 A3 144
1 B1 103
2 B1 225
2 B3b 041
1 B3b 064
2 P-A 005
2 P-A 007

# de5b1460
Energy: Darkness
2 A2 070
2 A2 072
2 A2 148
1 A2 150
2 A3 144
1 B1 121
2 B1 225
1 B2 154
2 B3b 041
1 P-A 002
2 P-A 005
2 P-A 007

# ed101813
Energy: Darkness
1 A2 071
2 A2 072
2 A2 148
1 A2 150
2 A3 144
2 B1 103
1 B1 223
1 B1 225
1 B3a 047
2 B3b 041
1 B3b 054
2 P-A 005
2 P-A 007
