# 25212c10
Energy: Grass
1 A1 225
1 A2 147
1 B1 225
2 B1a 067
1 B2 017
2 B2 145
1 B3 005
1 B3 006
1 B3 008
2 B3 019
2 B3 020
1 B3 148
1 P-A 002
2 P-A 005
1 P-A 007

# 42227bda
Energy: Grass
1 A2 150
2 A3 144
1 A3 147
2 A3b 006
1 B1 225
2 B1a 067
2 B3 005
1 B3 006
2 B3 008
2 B3 020
2 B3 153
2 P-A 007

# 8fb96b8e
Energy: Grass
1 A1 225
1 A2 150
1 A3 144
1 A3 147
2 A3b 006
1 B1 225
2 B1a 067
2 B3 005
1 B3 006
2 B3 008
2 B3 020
2 B3 153
2 P-A 007

# 95c3eaa4
Energy: Grass
1 A1 225
1 A2 150
1 A2 155
2 A3 144
1 B1 225
2 B3 005
2 B3 008
2 B3 019
2 B3 020
2 B3 153
2 P-A 002
2 P-A 007

# e2c77a89
Energy: Grass
1 A1 225
1 A2 148
1 A2 150
2 A3 144
2 B1 225
1 B2 017
2 B3 005
1 B3 007
1 B3 008
2 B3 019
2 B3 020
2 P-A 005
2 P-A 007

# f0768464
Energy: Grass
1 A1 219
1 A2 150
1 A3 147
1 B1a 067
1 B2 017
1 B3 004
2 B3 005
2 B3 006
1 B3 008
2 B3 019
2 B3 020
1 B3 153
2 P-A 005
2 P-A 007
