# 23d348c5
Energy: Metal
1 A1 225
1 A2b 071
1 A3 066
2 A4 066
1 B1 223
2 B1 225
2 B2 153
1 B2a 075
2 B2b 001
2 B2b 047
1 B2b 050
2 P-A 005
2 P-A 007

# 3311690a
Energy: Metal
1 A2 150
1 A2b 071
1 A3 066
2 A4 066
1 A4 153
1 B1 223
1 B1 225
2 B2 148
1 B2a 075
2 B2b 001
2 B2b 047
1 B2b 050
2 P-A 005
2 P-A 007

# 4c7976e9
Energy: Metal
1 A2 150
1 A2b 070
1 A3 066
2 A4 066
1 A4 153
1 B1 223
1 B1 225
2 B2 148
1 B2a 075
2 B2b 001
2 B2b 047
1 B2b 050
2 P-A 005
2 P-A 007

# 965bed01
Energy: Metal
1 A2 150
1 A2b 055
1 A2b 071
1 A3 066
2 A4 066
2 B1 225
2 B2 148
1 B2 153
2 B2b 001
2 B2b 047
1 B2b 050
2 P-A 005
2 P-A 007

# c2fda5ab
Energy: Metal
1 A2 150
1 A2b 071
1 A3 066
2 A4 066
1 A4 153
1 B1 223
1 B1 225
2 B2 148
2 B2b 001
2 B2b 047
1 B2b 049
1 B2b 050
2 P-A 005
2 P-A 007

# d97424ad
Energy: Metal
1 A2 150
1 A2b 055
1 A3 066
2 A4 066
1 A4 153
2 B1 225
1 B2 145
1 B2 148
2 B2b 001
2 B2b 047
1 B2b 050
1 B2b 069
2 P-A 005
2 P-A 007
