# 2d4c1ad7
Energy: Metal
2 A1 178
1 A1 179
1 A1 180
2 A1 181
2 A1 182
2 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 3d72effb
Energy: Metal
2 A1 178
2 A1 181
2 A1 182
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# 64a76824
Energy: Metal
2 A1 178
1 A1 179
1 A1 180
2 A1 181
2 A1 182
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
1 P-A 005
2 P-A 006
2 P-A 007

# 6c310bd0
Energy: Metal
2 A1 178
1 A1 179
1 A1 180
2 A1 181
2 A1 182
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 7609a079
Energy: Metal
2 A1 178
2 A1 181
2 A1 182
2 A1 223
2 A1 225
1 A1a 056
1 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# b57fdb81
Energy: Metal
2 A1 178
1 A1 179
1 A1 180
2 A1 181
2 A1 182
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# b8ce01c3
Energy: Metal
2 A1 178
2 A1 181
2 A1 182
1 A1 196
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# de13859f
Energy: Metal
2 A1 178
2 A1 181
2 A1 182
1 A1 196
1 A1 198
1 A1 203
1 A1 223
1 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# f2d7b18c
Energy: Metal
2 A1 178
2 A1 181
2 A1 182
2 A1 225
2 A1a 056
2 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
