# 2c34540a
Energy: Fire
2 A1 196
1 A1 223
1 A1 225
2 A1a 012
1 A1a 068
2 A2 147
1 A2 148
1 A2 155
2 A2b 070
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 61479349
Energy: Fire
1 A1 044
2 A1 196
1 A1 223
1 A1 225
1 A1a 012
1 A1a 068
2 A2 147
1 A2 148
1 A2 155
2 A2b 070
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# c89dec35
Energy: Fire
2 A1 196
1 A1 223
1 A1 225
2 A1a 012
1 A1a 068
2 A2 147
1 A2 148
1 A2 155
2 A2b 070
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# ec3bb0fc
Energy: Fire
2 A1 196
2 A1 223
1 A1 225
2 A1a 012
2 A2 147
1 A2 148
1 A2 155
2 A2b 070
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007
