# 03e6a661
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A1a 068
2 A2b 047
2 A2b 048
1 A2b 069
2 A3 146
1 A3 151
2 A3a 042
2 P-A 005
2 P-A 007

# 05474855
Energy: Darkness
2 A1 177
2 A1 222
1 A1 225
2 A1a 049
1 A1a 068
1 A2 110
2 A2 148
1 A2 150
1 A2b 047
1 A2b 048
1 A2b 071
1 P-A 001
2 P-A 005
2 P-A 007

# 06b1fdd7
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1 225
2 A1a 068
1 A2 110
2 A2 148
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 0fabedf2
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1 225
2 A1a 068
1 A2 110
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 071
2 P-A 005
2 P-A 007

# 10688ab0
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
2 A1a 068
2 A2 147
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 071
2 P-A 005
2 P-A 007

# 1b1b2a29
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1a 068
1 A2 110
1 A2 150
1 A2 155
2 A2b 047
2 A2b 048
2 A3 146
2 P-A 005
2 P-A 007

# 1e264823
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A2 150
1 A2b 047
1 A2b 048
2 A3 146
2 A3a 042
1 B1 151
1 B1 225
1 B2 145
1 B2 153
2 P-A 005
2 P-A 007

# 1ec0ff25
Energy: Darkness
1 A1 174
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 A1a 068
1 A2 147
1 A2 148
1 A2 150
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 23927895
Energy: Darkness
1 A1 176
2 A1 177
1 A1 222
1 A1a 049
1 A2 110
1 A2 147
1 A2 150
1 A2 154
1 A2 155
2 A2b 047
2 A2b 048
1 A2b 069
1 A3 146
2 P-A 005
2 P-A 007

# 28c95abd
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
2 A1a 068
1 A2 146
2 A2 147
1 A2 150
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 2f577b52
Energy: Darkness
2 A1 177
2 A1 222
1 A1 225
1 A1a 032
2 A1a 049
1 A1a 068
1 A2 146
1 A2 147
1 A2 150
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 33dab89b
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A2 150
1 A2b 047
1 A2b 048
1 A3 151
2 A3a 042
2 B1 219
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 36d09565
Energy: Darkness
2 A1 177
2 A1 222
2 A1a 049
1 A2 147
1 A2 150
1 A2b 047
1 A2b 048
2 A3 146
1 A3 151
2 A3a 042
1 A4 157
2 P-A 005
2 P-A 007

# 38fdcf87
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A2 110
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 070
1 A3 146
1 A3 151
2 A3a 042
2 P-A 005
2 P-A 007

# 407b6c1e
Energy: Darkness
1 A1 176
1 A1 177
1 A2 147
1 A2 150
1 A2b 047
1 A2b 048
1 A2b 069
1 A2b 070
2 A3 146
2 A3a 042
1 A3a 044
1 A3a 045
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 44ddd952
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1a 015
1 A2 147
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 069
2 P-A 002
2 P-A 005
2 P-A 007

# 478896fe
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1a 068
1 A2 110
1 A2 146
1 A2 150
1 A2 155
2 A2b 047
2 A2b 048
1 A3 146
2 P-A 005
2 P-A 007

# 4e6c363c
Energy: Darkness
2 A1 177
2 A1 222
2 A1a 049
2 A1a 068
2 A2 146
2 A2 147
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 4f3d4c1e
Energy: Darkness
2 A1 177
1 A1 222
2 A2 148
1 A2 150
2 A2b 047
2 A2b 048
1 A3a 042
2 B1 225
2 B3 101
1 B3 115
2 P-A 005
2 P-A 007

# 5dc644af
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A2 150
2 A2b 047
2 A2b 048
2 B1 109
2 B1 225
1 P-A 002
2 P-A 005
2 P-A 007

# 6b405c63
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 A1a 068
2 A2 148
2 A2 150
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# 739eff35
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 070
2 A3 146
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007

# 8a5e1b5c
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A1a 068
1 A2 110
1 A2 147
1 A2 148
1 A2 154
2 A2b 047
2 A2b 048
1 A2b 071
2 P-A 005
2 P-A 007

# a7cc7ba7
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A1a 053
1 A1a 054
1 A1a 055
1 A1a 068
1 A2 147
1 A2 150
1 A2b 047
1 A2b 048
1 A3 146
1 A3 151
2 P-A 005
2 P-A 007

# b3fb64fb
Energy: Darkness
2 A1 176
2 A1 177
1 A1 222
1 A1 225
1 A2 110
2 A2 146
1 A2 150
1 A2b 035
1 A2b 047
1 A2b 048
1 A2b 069
1 A2b 072
1 P-A 002
2 P-A 005
2 P-A 007

# bc91c3fb
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
2 A1a 068
2 A2 146
2 A2 147
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007

# c82ea81d
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
1 A1 225
1 A2 150
2 A2b 047
2 A2b 048
1 A3 146
1 B1 219
1 B1 225
1 B2 150
2 P-A 005
2 P-A 007

# cfa5f594
Energy: Darkness
2 A1 177
2 A1 222
2 A1a 049
1 A2 150
2 A2b 047
2 A2b 048
1 A2b 070
2 A3 146
2 A3a 042
2 P-A 005
2 P-A 007

# d52ce67c
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
2 A2 147
2 A2b 047
2 A2b 048
2 A2b 071
2 P-A 002
2 P-A 005
2 P-A 007

# d681df32
Energy: Darkness
2 A1 176
2 A1 177
2 A1 222
2 A1 225
1 A2 110
2 A2b 047
2 A2b 048
1 A2b 070
1 A3 142
1 A3 146
2 P-A 005
2 P-A 007

# fc56327a
Energy: Darkness
2 A1 177
2 A1 222
2 A1a 049
2 A1a 068
1 A2 110
2 A2 147
1 A2 150
2 A2b 047
2 A2b 048
2 P-A 005
2 P-A 007
