# aea7637f
Energy: Grass
1 A1 225
1 A2 148
1 A2 150
1 A2 155
1 A3 147
2 A3a 007
2 A3a 008
2 A3a 062
2 A3a 069
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# b9779be4
Energy: Grass
2 A1 219
2 A2 150
1 A2 155
1 A3 024
2 A3 147
1 A3 151
2 A3a 007
2 A3a 008
2 A3a 062
1 A3a 069
2 P-A 005
2 P-A 007

# bcac0211
Energy: Grass
2 A1 219
1 A1 225
1 A2 147
1 A2 150
1 A3 024
1 A3 147
2 A3a 007
2 A3a 008
2 A3a 062
2 A3a 069
2 P-A 005
1 P-A 006
2 P-A 007

# e72bee52
Energy: Grass
2 A1 219
1 A1 225
1 A2 146
2 A2 148
1 A2 150
1 A3 147
2 A3a 007
2 A3a 008
2 A3a 062
1 A3a 069
1 P-A 001
2 P-A 005
2 P-A 007
