# 01b75eb8
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 198
2 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 02729dc6
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 186
2 A1 187
2 A1 188
2 A1 222
2 P-A 005
2 P-A 007

# 08c4cb9e
Energy: Darkness
2 A1 164
2 A1 165
2 A1 188
1 A1 223
1 A1 225
2 A1a 057
2 A1a 058
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 08e9080b
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 223
2 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 09e9498f
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
1 A1 186
2 A1 187
2 A1 188
2 A1 222
1 A1 225
2 P-A 005
2 P-A 007

# 0ed68c1f
Energy: Darkness
2 A1 164
2 A1 165
1 A1 176
1 A1 177
2 A1 186
2 A1 187
2 A1 188
2 A1 223
2 P-A 002
2 P-A 005
2 P-A 007

# 0fbdcf8d
Energy: Darkness
1 A1 164
1 A1 165
1 A1 174
1 A1 175
1 A1 176
1 A1 177
1 A1 186
1 A1 187
1 A1 188
2 A1 222
1 A1 223
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 103b7091
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 223
1 A1 225
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 15e3606b
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 223
2 A1 225
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 15f16680
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 A1 225
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 17ed2a82
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
2 A1 198
2 A1 223
2 P-A 002
2 P-A 005
2 P-A 007

# 1d9b92a4
Energy: Darkness
2 A1 164
2 A1 165
1 A1 176
1 A1 177
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 1f0d37f9
Energy: Darkness
2 A1 164
2 A1 165
1 A1 186
1 A1 187
2 A1 188
1 A1 223
1 A1a 057
1 A2 147
1 A2b 070
2 A3 144
1 A3 155
2 P-A 005
1 P-A 006
2 P-A 007

# 1f7e77a8
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 198
1 A1 223
2 A1 225
2 P-A 001
2 P-A 005
2 P-A 007

# 28822cce
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 186
2 A1 187
2 A1 188
2 A1 222
1 A1a 068
1 P-A 001
2 P-A 007

# 293a6ec5
Energy: Darkness
1 A1 057
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 223
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 2a6345de
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
2 A1 223
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 2e4b4aba
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 187
2 A1 188
2 A1 222
2 A1a 057
2 P-A 005
2 P-A 007

# 31f3ecad
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 186
2 A1 187
2 A1 188
1 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007

# 35fc64d8
Energy: Darkness
2 A1 164
2 A1 165
2 A1 176
2 A1 177
2 A1 186
2 A1 187
2 A1 188
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 36a11238
Energy: Darkness
2 A1 164
2 A1 165
2 A1 186
2 A1 187
2 A1 188
1 A1 198
1 A1 203
2 A1 223
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

