# b903f3cc
Energy: Grass
2 A1 186
2 A1 187
2 A1 188
2 A1 205
2 A1 210
2 A1 218
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# d3f7f452
Energy: Grass
2 A1 186
2 A1 187
2 A1 188
2 A1 205
1 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# d8793fd3
Energy: Grass
1 A1 186
1 A1 187
1 A1 188
2 A1 205
1 A1 218
2 A1 223
2 A1 225
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# db42871d
Energy: Grass
2 A1 187
2 A1 188
2 A1 205
2 A1a 057
2 A2 146
2 A2 147
2 A2 150
2 P-A 001
2 P-A 005
2 P-A 007

# f31eed56
Energy: Water
2 A1 187
2 A1 188
2 A1 205
2 A1a 057
2 A2 148
2 A2 150
2 A2a 072
2 P-A 002
2 P-A 005
2 P-A 007
