# 5183f62e
Energy: Fighting
2 A1 154
2 A1 162
2 A1 163
2 A1 186
2 A1 187
2 A1 188
2 A1 223
2 P-A 002
2 P-A 005
2 P-A 007

# 68ecd6c5
Energy: Fighting
2 A1 154
2 A1 162
2 A1 163
2 A1 186
2 A1 187
1 A1 188
2 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 77b9d960
Energy: Fighting
1 A1 154
2 A1 162
2 A1 163
2 A1 186
2 A1 187
2 A1 188
1 A1 223
2 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# cdad9c4b
Energy: Fighting
2 A1 162
2 A1 163
2 A1 186
2 A1 187
2 A1 188
2 A1 223
1 A1 225
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007
