# 30c05449
Energy: Psychic
1 A1 186
2 A1 187
2 A1 188
1 A1 195
1 A1 205
2 A1 223
1 A1a 032
1 A1a 057
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
1 P-A 022

# a98ec4a4
Energy: Psychic
1 A1 127
2 A1 186
2 A1 187
2 A1 188
1 A1 195
1 A1 203
2 A1 223
1 A1 225
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022

# c31e80eb
Energy: Darkness
2 A1 176
2 A1 177
2 A1 186
2 A1 187
2 A1 188
1 A1 195
2 A1 222
1 A1 223
2 P-A 005
2 P-A 007
2 P-A 022

# cbd73351
Energy: Fighting
2 A1 186
2 A1 187
2 A1 188
1 A1 194
1 A1 195
1 A1 210
1 A1 225
1 A1a 046
2 A1a 063
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 022

# cd4f4df2
Energy: Fighting
2 A1 187
2 A1 188
1 A1 195
1 A1 210
1 A1a 046
2 A1a 057
2 A1a 063
1 A1a 068
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007
1 P-A 022
