# 022b0727
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2 155
1 A2b 022
1 A2b 071
2 A3a 019
2 A3a 021
1 A3a 065
2 A4 151
2 P-A 002
2 P-A 005
2 P-A 007

# 101ca317
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2 155
1 A2b 022
1 A3 066
1 A3 151
1 A3a 019
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
2 P-A 005
2 P-A 007

# 1f81f820
Energy: Lightning
1 A1 096
1 A1 098
1 A1 105
1 A1 106
1 A1 111
1 A1 225
1 A1a 028
1 A1a 029
1 A2a 053
1 A3 062
1 A3 066
1 A3a 019
2 P-A 001
2 P-A 005
2 P-A 006
2 P-A 007

# 278526f9
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
1 A3 066
1 A3 151
1 A3a 019
2 A3a 021
2 A4 066
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 2bad7c2a
Energy: Lightning
1 A1 096
1 A1 225
1 A2 150
1 A3a 019
2 A3a 021
1 A3a 065
1 A4 066
1 A4 151
2 B1 225
1 B2 154
2 B2a 086
1 B3a 019
1 B3a 073
2 P-A 005
2 P-A 007

# 3e2a6011
Energy: Lightning
1 A1 096
1 A2 150
1 A2b 022
1 A2b 070
1 A3 151
2 A3a 019
2 A3a 021
1 A3a 064
2 A3a 065
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 543f97ee
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
1 A3 066
1 A3a 019
2 A3a 021
1 A4 066
1 A4 151
1 B1 225
1 B2 154
2 B2a 086
1 B2a 088
2 P-A 005
2 P-A 007

# 56904804
Energy: Lightning
1 A1 096
2 A2 150
1 A2 155
1 A2b 022
1 A2b 071
2 A3 066
1 A3 151
2 A3a 019
2 A3a 021
1 A4 066
2 A4 151
2 P-A 005
2 P-A 007

# 5cff6609
Energy: Lightning
1 A1 096
1 A2 147
1 A2 150
1 A2 155
2 A3 066
1 A3 151
1 A3a 019
2 A3a 021
1 A3a 064
2 A4 151
1 A4 158
2 P-A 005
2 P-A 006
2 P-A 007

# 67f94923
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2 155
1 A2b 022
1 A2b 070
2 A3 066
1 A3 151
1 A3a 019
2 A3a 021
1 A3a 064
2 A4 151
2 P-A 005
2 P-A 007

# 77029984
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
1 A2b 071
1 A3 066
1 A3a 019
2 A3a 021
1 A3a 065
2 A4 066
2 A4 151
1 P-A 002
2 P-A 005
2 P-A 007

# b0c01240
Energy: Lightning
1 A1 096
2 A2 150
1 A2b 022
1 A2b 071
1 A3 151
2 A3a 019
2 A3a 021
1 A3a 064
1 A3a 065
2 A4 151
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# b62464c4
Energy: Lightning
1 A1 096
1 A1 225
1 A2 147
1 A2 150
1 A2b 022
2 A3 066
1 A3a 019
1 A3a 021
1 A4 066
1 A4 071
2 A4 151
1 A4 158
2 P-A 002
2 P-A 005
2 P-A 007

# c1e3894e
Energy: Lightning
1 A1 096
1 A2 150
1 A2 155
1 A2b 022
1 A2b 071
1 A3 151
1 A3a 019
2 A3a 021
1 A3a 064
1 A4 071
2 A4 151
1 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# d892e4c2
Energy: Lightning
1 A1 096
1 A1 223
1 A1 225
1 A2 150
1 A2b 022
1 A2b 071
2 A3 066
1 A3a 019
2 A3a 021
1 A3a 065
1 A4 066
2 A4 151
1 P-A 002
2 P-A 005
2 P-A 007

# e9594d78
Energy: Lightning
1 A1 096
1 A1 225
2 A2 147
1 A2 150
2 A2 154
1 A2b 070
1 A2b 071
2 A3 066
1 A3a 019
2 A3a 021
1 A3a 065
1 P-A 002
2 P-A 005
2 P-A 007

# e999cc4e
Energy: Lightning
1 A1 096
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 A2b 022
1 A2b 025
1 A3 155
2 A3a 019
2 A3a 021
2 A3a 065
2 P-A 002
2 P-A 005
2 P-A 007

# f46d18ff
Energy: Lightning
1 A1 096
2 A2 150
1 A2 155
1 A2b 022
2 A3a 019
2 A3a 021
1 A3a 065
1 A4 066
2 A4 151
1 A4 158
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# ff813ceb
Energy: Lightning
1 A1 096
1 A1 225
1 A2 150
1 A3a 019
2 A3a 021
1 A3a 065
1 A4 066
1 A4 151
2 B1 225
2 B2a 086
1 B3a 019
1 B3a 074
1 P-A 002
2 P-A 005
2 P-A 007
