# 37925004
Energy: Fighting
1 A1 147
1 A1 154
1 A1 223
1 A1 224
2 A1 225
2 A1a 041
2 A1a 042
1 A1a 044
1 A1a 045
2 A1a 047
1 A1a 068
1 P-A 002
2 P-A 005
2 P-A 007

# 3e854652
Energy: Fighting
1 A1 147
1 A1 154
2 A1 223
1 A1 224
2 A1 225
2 A1a 041
2 A1a 042
1 A1a 044
1 A1a 045
1 A1a 047
2 P-A 001
2 P-A 005
2 P-A 007

# 3ec980b5
Energy: Fighting
1 A1 147
2 A1 154
1 A1 223
1 A1 224
2 A1 225
2 A1a 041
2 A1a 042
1 A1a 044
1 A1a 045
2 A1a 047
1 A1a 068
2 P-A 005
2 P-A 007

# 75968fa4
Energy: Fighting
2 A1a 041
2 A1a 042
1 A1a 043
1 A1a 044
1 A1a 045
2 A1a 047
2 A1a 056
2 A1a 061
2 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# c58c8219
Energy: Fighting
1 A1 141
1 A1 147
1 A1 154
1 A1 223
1 A1 224
1 A1 225
1 A1a 041
2 A1a 042
1 A1a 044
1 A1a 045
2 A1a 047
1 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# c8d5a2b7
Energy: Fighting
2 A1 224
2 A1a 041
2 A1a 042
2 A1a 043
2 A1a 045
1 A2 150
2 A3 144
1 B1 219
1 B1 225
1 B2a 093
2 P-A 005
2 P-A 007

# cbbc9606
Energy: Fighting
2 A1 147
1 A1 154
2 A1 224
1 A1 225
2 A1a 041
2 A1a 042
2 A1a 045
1 A2b 071
2 A3 144
1 B1 225
2 P-A 005
2 P-A 007

# df2a1261
Energy: Fighting
1 A1 148
1 A1 149
2 A1 224
2 A1a 041
2 A1a 042
1 A1a 044
1 A1a 045
2 A1a 047
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007
