# 29003f72
Energy: Fighting
2 A1 150
2 A1 224
2 A2 088
2 A2 089
2 A2 144
2 A2 148
2 A2 150
2 P-A 001
2 P-A 005
2 P-A 007

# 2a9a01b7
Energy: Fighting
2 A1 150
2 A1 224
1 A1 225
1 A2 088
2 A2 089
2 A2 144
1 A2 146
2 A2 147
1 A2b 069
2 A3 144
1 A3 155
1 P-A 005
2 P-A 007

# 2b98d96d
Energy: Fighting
2 A1 150
2 A1 224
1 A1 225
1 A1a 068
2 A2 088
2 A2 089
2 A2 144
1 A2 146
2 A2 148
1 A2 150
2 P-A 001
2 P-A 007

# 4e72cde1
Energy: Fighting
2 A1 150
2 A1 225
2 A1a 068
2 A2 088
2 A2 089
2 A2 144
1 A2 146
1 A2 147
1 A2 148
1 A2 150
2 P-A 001
2 P-A 007

# 9e3979d3
Energy: Fighting
2 A1 150
1 A1 154
2 A1 224
1 A1 225
1 A1a 047
2 A2 088
2 A2 089
2 A2 144
1 A2 146
2 A2 148
1 A2 150
1 P-A 005
2 P-A 007

# c2bd8890
Energy: Fighting
2 A1 150
2 A1 224
2 A1a 068
1 A2 087
2 A2 088
2 A2 089
2 A2 144
1 A2 150
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# cea0a738
Energy: Fighting
2 A1 150
1 A1 154
2 A1 224
1 A1 225
2 A2 088
2 A2 089
2 A2 144
1 A2 146
1 A2 147
2 A2 148
2 P-A 005
2 P-A 007

# d075aed1
Energy: Fighting
2 A1 150
2 A1 224
1 A1 225
2 A2 088
2 A2 089
1 A2 091
1 A2 092
2 A2 144
1 A2 146
1 A2 147
1 A2 148
2 P-A 005
2 P-A 007
