# 38f183ec
Energy: Fire
1 A1 037
1 A1 038
2 A1 042
1 A1 043
2 A1 198
2 A1 221
2 A1 223
2 A1 225
1 A1a 011
2 P-A 002
2 P-A 005
2 P-A 007

# 7c6c9d61
Energy: Fire
1 A1 037
1 A1 038
1 A1 042
1 A1 043
1 A1 221
1 A1 223
1 A1 225
1 A1a 010
1 A1a 011
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2a 011
1 A2a 012
2 P-A 005
2 P-A 007

# 92aee13f
Energy: Fire
1 A1 037
1 A1 038
2 A1 221
1 A1 223
2 A1 225
2 A1a 010
2 A1a 011
1 A1a 012
1 P-A 001
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# a1bc4814
Energy: Fire
1 A1 037
1 A1 038
1 A1 044
2 A1 221
2 A1 223
1 A1 225
2 A1a 010
2 A1a 011
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# adf4151c
Energy: Fire
1 A1 037
1 A1 038
1 A1 044
1 A1 046
1 A1 048
1 A1 049
1 A1 050
1 A1 225
2 A1a 010
2 A1a 011
2 A1a 068
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# caecdb10
Energy: Fire
1 A1 037
2 A1 038
1 A1 198
2 A1 221
1 A1 223
2 A1 225
2 A1a 010
2 A1a 011
2 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# cd064c58
Energy: Fire
1 A1 037
1 A1 038
2 A1 221
2 A1 225
2 A1a 010
2 A1a 011
2 A2 147
1 A2 150
1 A2 154
1 A2a 011
1 A2a 012
2 P-A 005
2 P-A 007

# d437733c
Energy: Fire
2 A1 038
2 A1 039
1 A1 043
2 A1 221
1 A1 225
2 A1a 010
1 A1a 011
1 A2 146
1 A2 147
1 A2 150
2 P-A 002
2 P-A 005
2 P-A 007

# f9c02ef1
Energy: Fire
1 A1 037
1 A1 038
2 A1 221
2 A1 225
2 A1a 010
2 A1a 011
2 A1a 012
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# fc24dfb9
Energy: Fire
1 A1 037
1 A1 038
1 A1 043
2 A1 221
1 A1 223
1 A1 225
2 A1a 010
1 A1a 011
1 A1a 012
1 A1a 015
1 A1a 016
1 P-A 001
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007
