# 0176c725
Energy: Metal
1 A1 225
1 A1a 068
1 A2 112
2 A2 119
2 A2 147
1 A2 150
1 A2 154
1 A2 155
1 A2a 071
2 A3 149
1 A3 151
2 P-A 005
2 P-A 007
2 P-A 065

# 03f103ff
Energy: Metal
1 A1 225
1 A1a 068
2 A2 119
2 A2 147
1 A2 150
1 A2 155
1 A2a 069
1 A2a 075
1 A2b 071
1 A3 151
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 065

# 18012bc8
Energy: Metal
1 A1 201
1 A1 225
2 A1a 068
2 A2 119
1 A2 125
1 A2 147
1 A2a 070
1 A2b 069
1 A2b 070
1 A3 149
1 A4 156
1 P-A 001
2 P-A 005
2 P-A 007
2 P-A 065

# 197be0c5
Energy: Metal
2 A1a 068
2 A2 119
2 A2 147
1 A2 150
1 A2 155
2 A2a 071
1 A2b 071
2 A3 149
1 A3 151
2 P-A 005
2 P-A 007
2 P-A 065

# 28dec9dd
Energy: Metal
1 A1 225
1 A1a 032
2 A1a 068
1 A2 022
2 A2 119
1 A2 146
2 A2 147
1 A2 148
1 A2b 070
2 P-A 001
2 P-A 005
2 P-A 007
2 P-A 065

# 33bff379
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
2 A2a 071
1 A2b 071
2 A3 149
2 P-A 005
2 P-A 007
2 P-A 065

# 561de35b
Energy: Metal
1 A1 223
2 A1a 068
2 A2 119
2 A2 147
1 A2 150
1 A2 155
1 A2a 070
2 A2a 071
2 A3 149
2 P-A 005
2 P-A 007
2 P-A 065

# 63546e52
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 150
1 A2 155
1 A2a 071
1 A2b 069
1 A3 141
2 A3 149
1 A3 151
2 P-A 005
2 P-A 007
2 P-A 065

# 7d5d5933
Energy: Metal
2 A1 198
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 148
1 A2 150
2 A2a 071
2 A3 149
2 P-A 005
2 P-A 007
2 P-A 065

# 9d453f42
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 147
1 A2 150
1 A2a 070
1 A2a 071
1 A2b 069
1 A2b 071
2 A3 149
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 065

# 9ec3cf42
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
2 A2 147
1 A2 150
1 A2 155
1 A2a 070
2 A2a 071
1 A3 146
1 A3 149
2 P-A 005
2 P-A 007
2 P-A 065

# a232b560
Energy: Metal
1 A1 223
1 A1a 068
2 A2 111
2 A2 119
2 A2 147
1 A2 148
1 A2 155
2 A2b 072
1 A3 146
1 A3 151
2 P-A 005
2 P-A 007
2 P-A 065

# bf710489
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
2 A2 147
2 A2 150
1 A2b 069
2 A2b 070
1 A2b 071
1 A3 117
1 A3 118
1 P-A 005
2 P-A 007
2 P-A 065

# bfa19501
Energy: Metal
1 A1a 068
2 A2 119
1 A2 124
1 A2 125
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3 149
1 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 065

# cfb949de
Energy: Metal
1 A1 203
2 A1 225
1 A1a 068
2 A2 119
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2a 069
1 A2b 071
1 P-A 002
2 P-A 005
2 P-A 007
2 P-A 065

# d257d25b
Energy: Metal
1 A1 225
2 A1a 068
2 A2 119
1 A2 146
2 A2 147
1 A2 150
1 A2a 070
1 A2a 071
1 A2b 071
2 A3 149
2 P-A 005
2 P-A 007
2 P-A 065

# e6547409
Energy: Metal
1 A1 225
2 A1a 068
1 A2 022
2 A2 119
2 A2 147
1 A2 155
1 A2b 070
1 A3 151
2 P-A 001
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 065
