# 12530979
Energy: Fighting
1 A1 225
1 A1a 068
2 A2 089
2 A2 144
2 A2 147
1 A2 155
1 A2b 069
1 A3 104
1 A3 141
1 A3 142
2 A3 144
1 A3 149
1 P-A 005
2 P-A 007
1 P-A 065

# 1d4cacb4
Energy: Fighting
1 A1a 068
2 A2 147
1 A2 148
1 A2 150
2 A2b 070
1 A2b 072
1 A3 104
2 A3 151
2 A4 032
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 065

# 323971ba
Energy: Fighting
1 A1a 068
1 A2 146
2 A2 147
1 A2b 069
1 A2b 070
1 A2b 071
2 A3 104
1 A3 141
2 A3 149
2 P-A 001
2 P-A 005
2 P-A 007
2 P-A 065

# 49550341
Energy: Fighting
1 A1 225
1 A2 088
1 A2 089
1 A2 144
1 A2 146
1 A2 147
1 A2 155
1 A2b 069
1 A2b 070
1 A2b 071
1 A3 104
1 A3 144
1 A3 151
1 A3a 060
1 A3a 061
1 A3a 067
1 P-A 001
1 P-A 005
1 P-A 007
1 P-A 065

# 7aa8b0e3
Energy: Fighting
1 A1a 068
2 A2 146
2 A2 147
1 A2b 069
1 A2b 070
1 A2b 071
2 A3 104
1 A3 141
2 A3 149
1 P-A 001
2 P-A 005
2 P-A 007
2 P-A 065

# 7f9c2a42
Energy: Fighting
1 A1 225
1 A1a 068
2 A2 147
1 A2 150
1 A2 155
1 A2b 044
1 A2b 072
2 A3 104
2 A3 149
1 A3 151
2 P-A 005
1 P-A 006
2 P-A 007
2 P-A 065

# 8a057bdd
Energy: Fighting
1 A1 225
2 A1a 068
1 A2 147
1 A2 148
1 A2 150
1 A2b 069
2 A2b 070
2 A3 104
1 A3 146
1 A3 149
1 A3 151
1 P-A 001
1 P-A 005
2 P-A 007
2 P-A 065

# 94b10438
Energy: Fighting
1 A1 225
1 A1a 068
2 A2 147
1 A2 155
1 A2b 069
1 A2b 071
2 A3 104
2 A3 149
1 A3 151
2 P-A 001
2 P-A 005
2 P-A 007
2 P-A 065

# 97853226
Energy: Fighting
1 A1 225
2 A1a 068
1 A2b 040
2 A2b 070
1 A3 104
2 A3 142
2 A3 146
1 A3 149
1 A3 151
2 P-A 001
1 P-A 005
1 P-A 006
2 P-A 007
1 P-A 065

# a35225f2
Energy: Fighting
1 A1a 068
1 A2 147
2 A2 148
2 A2 155
1 A2b 070
2 A3 104
2 A3 149
2 P-A 001
2 P-A 005
2 P-A 007
1 P-A 063
2 P-A 065

# c5c12a29
Energy: Fighting
2 A1 225
2 A1a 068
2 A2 147
1 A2b 070
1 A3 104
2 A3 141
2 A3 142
2 A3 149
1 P-A 001
2 P-A 005
2 P-A 007
1 P-A 065

# fca1ca99
Energy: Fighting
1 A1 225
1 A1a 068
2 A2 147
2 A2 148
1 A2 155
2 A2b 070
1 A2b 071
1 A2b 072
1 A3 104
2 A4 032
2 P-A 005
2 P-A 007
2 P-A 065
