# 097d7ec0
Energy: Grass
1 A1a 005
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
2 B1 225
1 B2 017
1 B2 154
2 B2a 015
2 P-A 005
2 P-A 007
2 P-A 027

# 1ae2022c
Energy: Grass
2 A1 219
2 A1a 004
2 A1a 006
2 A3 144
1 A3 147
1 B2 017
2 B2a 015
2 B3 153
2 B3a 071
2 P-A 002
2 P-A 007

# 4a66f255
Energy: Grass
2 A1 219
1 A1a 005
2 A1a 006
1 A2 150
1 A3 144
1 A3 147
1 B1 225
1 B1a 067
1 B2 017
1 B2 154
2 B2a 015
2 P-A 005
2 P-A 007
2 P-A 027

# 5d989706
Energy: Grass
2 A1a 004
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
2 B1 225
1 B2 017
1 B2 154
2 B2a 015
1 B2b 069
1 P-A 002
1 P-A 005
2 P-A 007

# 7ff2c9c8
Energy: Grass
1 A1a 005
1 A1a 006
1 A1a 009
1 A2 150
2 A3 147
1 B1 225
2 B1a 067
1 B2 017
1 B2 147
2 B2a 015
1 B2a 091
2 P-A 005
2 P-A 007
2 P-A 027

# afb8dd07
Energy: Grass
1 A1 225
2 A1a 004
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
2 B1 225
1 B2 017
1 B2a 091
2 B3 003
2 B3 153
2 P-A 007

# b41f2502
Energy: Grass
1 A1 219
2 A1a 004
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
1 A3a 007
1 B1 225
1 B2 017
2 B2a 015
2 B3 153
1 B3a 071
2 P-A 007

# bb67c12f
Energy: Grass
1 A1 225
2 A1a 004
1 A1a 005
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
1 B1 223
1 B2 017
1 B2 154
2 B2a 015
2 P-A 005
2 P-A 007

# d9502d80
Energy: Grass
1 A1 219
1 A1 225
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
2 B1 225
1 B2 017
2 B2a 015
1 B2a 091
1 P-A 005
2 P-A 007
2 P-A 027

# e1ddc0b9
Energy: Grass
1 A1 219
2 A1a 004
2 A1a 006
1 A2 150
2 A3 144
1 A3 147
1 A3a 007
1 A4 157
1 B1 223
1 B1 225
1 B2 017
2 B3 003
2 P-A 005
2 P-A 007

# e6a3e7de
Energy: Grass
2 A1a 004
1 A1a 005
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
1 B1 223
1 B1 225
1 B2 017
1 B2 154
2 B2a 015
2 P-A 005
2 P-A 007

# ee52af73
Energy: Grass
1 A1 225
2 A1a 004
2 A1a 006
1 A2 150
2 A3 144
2 A3 147
1 B1 225
1 B2 017
1 B2a 091
1 B2b 066
2 B3 003
2 B3 153
2 P-A 007
