# 001cf122
Energy: Grass
2 A1 219
1 A1 225
2 A1a 001
2 A1a 002
1 A1a 003
2 A1a 004
2 A1a 005
2 A1a 006
1 A1a 009
1 A1a 068
2 P-A 005
2 P-A 007

# 00a7009d
Energy: Grass
1 A1 219
1 A1 223
1 A1 225
2 A1a 001
2 A1a 002
1 A1a 004
2 A1a 005
1 A1a 006
1 A1a 009
1 A1a 068
2 P-A 001
1 P-A 002
1 P-A 005
2 P-A 007
1 P-A 027

# 00ae38e3
Energy: Grass
2 A1 219
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A2 146
1 A2 147
1 A2b 069
2 P-A 005
2 P-A 007

# 01b0b65f
Energy: Grass
1 A1 225
1 A1a 001
1 A1a 002
2 A1a 004
1 A1a 005
2 A1a 006
1 A1a 068
1 A2 150
1 A2 155
1 A2b 004
2 A3 144
2 A3 147
2 P-A 005
2 P-A 007

# 01dcb90d
Energy: Grass
2 A1 223
1 A1 225
2 A1a 001
2 A1a 002
1 A1a 003
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 068
2 P-A 005
2 P-A 007

# 02964f21
Energy: Grass
1 A1 026
1 A1 219
1 A1 225
2 A1a 001
2 A1a 002
2 A1a 005
2 A1a 006
1 A1a 009
1 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007
2 P-A 027

# 02a54a8f
Energy: Grass
2 A1 219
1 A1 223
1 A1 225
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
1 A1a 009
1 P-A 002
2 P-A 005
2 P-A 007

# 02bffd4f
Energy: Grass
2 A1 219
2 A1 225
2 A1a 001
2 A1a 002
2 A1a 005
2 A1a 006
2 P-A 002
2 P-A 005
2 P-A 007
2 P-A 027

# 0305a1bd
Energy: Grass
2 A1 225
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007

# 03ed082e
Energy: Grass
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
1 A1a 009
1 A1a 068
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 041f600d
Energy: Grass
2 A1 219
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# 0494ef23
Energy: Grass
1 A1 219
1 A1 225
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 056
2 A1a 068
2 P-A 005
2 P-A 007

# 049caeb0
Energy: Grass
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 009
2 A1a 068
2 P-A 002
2 P-A 005
2 P-A 007

# 04cb8e71
Energy: Grass
1 A1 022
2 A1 219
1 A1 225
2 A1a 001
1 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 009
1 A1a 068
2 P-A 005
2 P-A 007

# 0505b704
Energy: Grass
1 A1 005
2 A1 219
2 A1 223
1 A1 225
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 P-A 005
2 P-A 007

# 062030ee
Energy: Grass
2 A1a 001
2 A1a 002
2 A1a 005
2 A1a 006
2 A1a 056
2 A1a 068
2 P-A 001
2 P-A 005
2 P-A 007
2 P-A 027

# 06c74127
Energy: Grass
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 007
2 A1a 008
2 A1a 068
2 P-A 005
2 P-A 007

# 0945d220
Energy: Grass
2 A1 219
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
1 A1a 009
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 0987acfc
Energy: Grass
1 A1 219
2 A1a 001
2 A1a 002
2 A1a 004
2 A1a 005
2 A1a 006
2 A1a 009
2 A1a 068
1 P-A 001
2 P-A 005
2 P-A 007

# 09b63920
Energy: Grass
2 A1a 001
2 A1a 002
2 A1a 005
2 A1a 006
1 A1a 009
