# 0170acd6
Energy: Grass
1 A1 196
1 A1 198
1 A1 225
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 155
1 A2b 068
1 A2b 069
1 A2b 070
1 A2b 072
1 A3 149
1 A3 151
1 A3a 060
1 A3a 061
1 A3a 067
1 P-A 001
1 P-A 005
1 P-A 007

# 0c290471
Energy: Fighting, Water
1 A1 205
2 A1 223
1 A1 225
1 A2 147
1 A2 150
2 A3a 060
2 A3a 061
2 A3a 067
1 A4 032
1 A4 066
1 A4 101
1 A4 158
2 P-A 005
2 P-A 007

# 0eb58412
Energy: Fire
1 A1 223
1 A2 148
1 A2 150
2 A2b 070
1 A3 151
2 A3a 060
2 A3a 061
1 A3a 067
1 B1 217
1 B1 225
1 B2a 021
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 2210c5a1
Energy: Grass
1 A1 225
1 A2 147
1 A2 150
1 A2 155
1 A2a 073
2 A2b 069
1 A2b 071
1 A2b 072
1 A3 149
1 A3 151
2 A3a 060
2 A3a 061
2 A3a 067
1 P-A 005
2 P-A 007

# 2566ed88
Energy: Water
1 A1 198
1 A1 223
1 A1 225
1 A2 147
1 A2 148
1 A2 155
1 A2a 063
1 A2a 074
1 A2b 069
1 A2b 070
1 A3 141
1 A3 146
1 A3 149
1 A3 151
1 A3a 060
1 A3a 061
1 A3a 067
1 A4a 065
1 P-A 005
1 P-A 007

# 25865b56
Energy: Fire
1 A1 223
2 A1a 068
1 A2 147
1 A2 150
1 A2 155
1 A3a 009
2 A3a 060
2 A3a 061
2 A3a 067
1 A3a 069
1 A4 158
2 P-A 005
1 P-A 006
2 P-A 007

# 2e76e6a6
Energy: Fighting
1 A1 225
2 A2 147
2 A2 150
1 A2 155
2 A3a 060
2 A3a 061
1 A4 101
1 A4 102
2 A4 156
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# 37a75d6d
Energy: Lightning
1 A2 150
1 A3 066
1 A3a 021
2 A3a 060
2 A3a 061
1 A3a 065
2 A3a 067
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 006
2 P-A 007

# 406ff14d
Energy: Psychic
1 A1 223
1 A1 225
1 A2 146
1 A2 148
1 A2 150
1 A2b 071
1 A3 077
1 A3 084
1 A3 146
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
1 P-A 006
2 P-A 007

# 466cb208
Energy: Lightning
1 A1 223
1 A1 225
1 A1a 068
1 A2 150
2 A2b 070
1 A2b 071
1 A3 066
1 A3 151
1 A3a 021
2 A3a 060
2 A3a 061
2 A3a 067
2 P-A 005
2 P-A 007

# 4d458227
Energy: Water
2 A1 223
1 A1 225
1 A1a 068
