# 04b8e353
Energy: Metal
1 A1 225
1 A2 111
1 A2 147
2 A3 085
2 A3 122
2 A3 144
1 A3 151
2 A3 155
1 B1 170
1 B1 171
1 B1 172
1 B1 225
2 P-A 005
2 P-A 007

# 0b36eb71
Energy: Metal
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
1 A4 153
2 B1 170
1 B1 171
2 B1 172
2 B1 225
2 P-A 005
2 P-A 007

# 1d0a0a3a
Energy: Metal
1 A2 147
2 A2 148
2 A3 085
1 A3 086
2 A3 122
2 A3 144
2 B1 170
1 B1 171
2 B1 172
1 B1 225
2 P-A 005
2 P-A 007

# 4263b61b
Energy: Metal
1 A2b 071
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
1 A4 153
2 B1 170
1 B1 171
2 B1 172
1 B1 223
2 P-A 005
2 P-A 007

# 4871a13b
Energy: Metal
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
2 B1 170
1 B1 171
2 B1 172
2 B1 225
2 P-A 005
2 P-A 007

# 4b7d6ebc
Energy: Metal
2 A3 085
1 A3 086
2 A3 122
2 A3 144
2 A3 155
2 B1 170
1 B1 171
2 B1 172
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# 5599f93c
Energy: Metal
1 A2 150
1 A2b 071
1 A3 016
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
1 A3a 027
1 A4 153
1 B1 170
1 B1 172
1 B1 223
2 P-A 005
2 P-A 007

# 6e3c27e3
Energy: Metal
1 A1 225
1 A2 150
2 A3 085
2 A3 122
2 A3 144
1 A3 155
1 B1 172
2 B1 225
1 B2 118
2 B2 148
1 B3a 071
2 P-A 005
2 P-A 007

# 989308ab
Energy: Metal
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 151
2 B1 170
1 B1 171
2 B1 172
2 B1 225
2 P-A 005
2 P-A 007

# 9a8fa8f7
Energy: Metal
1 A1 225
1 A2 150
2 A3 085
2 A3 122
2 A3 144
1 A3 155
1 B1 171
1 B1 172
1 B1 225
1 B2 118
2 B2 148
1 B3a 071
2 P-A 005
2 P-A 007

# be9daf82
Energy: Metal
1 A2 148
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 144
2 B1 170
1 B1 171
2 B1 172
2 B1 225
2 P-A 005
2 P-A 007

# c6ca02a3
Energy: Metal
1 A2 150
1 A2b 071
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 151
1 A3 155
2 B1 170
1 B1 171
2 B1 172
1 B1 225
1 P-A 005
2 P-A 007

# d1bb5132
Energy: Metal
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
1 A4 153
2 B1 170
2 B1 172
1 B1 223
1 B1 225
2 P-A 005
2 P-A 007

# e945e99a
Energy: Metal
2 A2 111
2 A2 148
1 A2 150
1 A2 155
1 A2b 069
1 A3 085
1 A3 122
1 A3 144
1 A3 155
1 B1 170
1 B1 171
1 B1 172
1 B1 225
2 P-A 005
1 P-A 006
2 P-A 007

# fe8fe7a2
Energy: Metal
1 A1 225
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 155
2 B1 172
1 B1 223
1 B1 225
2 B2 118
1 B2 119
2 P-A 005
2 P-A 007
