# 058dad97
Energy: Metal
1 A2 150
2 A3 085
2 A3 122
2 A3 144
2 A3 149
2 A3 155
2 A3b 057
2 A3b 067
2 P-A 005
1 P-A 006
2 P-A 007

# 07c721bf
Energy: Metal
1 A1 225
1 A2b 072
2 A3 085
2 A3 122
2 A3 144
1 A3 149
2 A3b 057
2 B1 225
2 B2a 087
2 P-A 005
1 P-A 006
2 P-A 007

# 207c155a
Energy: Metal
1 A2 148
1 A2 150
1 A2b 071
2 A3 085
2 A3 122
2 A3 144
1 A3 155
1 A3b 057
2 B1 225
2 B2 148
1 B3a 071
2 P-A 005
2 P-A 007

# 6b44c054
Energy: Metal
1 A2 150
2 A3 085
2 A3 122
2 A3 144
2 A3 149
1 A3 155
2 A3b 057
2 B1 225
2 B2a 087
2 P-A 005
2 P-A 007

# 6c7d44dd
Energy: Metal
1 A2 150
1 A2b 069
2 A2b 070
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3 151
2 A3b 057
2 A3b 067
1 P-A 001
1 P-A 005
2 P-A 007

# d78b43f9
Energy: Metal
1 A2 150
1 A2 155
1 A2b 035
1 A2b 071
2 A3 085
2 A3 122
1 A3 123
2 A3 144
2 A3 149
1 A3 151
2 A3b 057
2 P-A 005
2 P-A 007

# e1101e25
Energy: Metal
1 A1 087
1 A1 089
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 144
1 A3b 057
1 B1 121
2 B1 225
1 B2 147
1 B2 148
2 P-A 005
2 P-A 007

# e16c196c
Energy: Metal
1 A1 225
1 A2 155
2 A3 085
2 A3 122
2 A3 144
2 A3 146
2 A3 149
1 A3 151
1 A3 155
2 A3b 057
2 P-A 005
2 P-A 007
