# 1d25000b
Energy: Metal
1 A1 225
2 A2 146
2 A2b 071
1 A3 066
2 A3 085
2 A3 122
2 A3 123
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 38075a54
Energy: Metal
1 A2 146
1 A2 147
1 A2 150
1 A2 155
1 A2b 071
2 A3 085
1 A3 086
2 A3 122
2 A3 123
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 5ad6e2fc
Energy: Metal
1 A2 147
1 A2 150
1 A2 155
2 A2a 075
1 A2b 071
2 A3 085
1 A3 086
2 A3 122
2 A3 123
2 A3 144
1 A3 146
2 P-A 005
2 P-A 007

# 7d631f06
Energy: Metal
2 A2 146
2 A2 147
1 A2 150
2 A3 085
1 A3 086
2 A3 122
2 A3 123
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# af493dc5
Energy: Metal
1 A1 225
1 A2 146
2 A2 147
1 A2b 069
2 A3 085
2 A3 122
2 A3 123
2 A3 144
1 A3 155
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# b10ee2f3
Energy: Metal
2 A2 147
2 A3 085
1 A3 086
2 A3 122
2 A3 123
2 A3 144
2 A3 146
2 A3 155
1 P-A 001
2 P-A 005
2 P-A 007

# b90f411e
Energy: Metal
2 A1 225
1 A2 146
1 A2 147
1 A2 148
1 A2b 069
2 A3 085
2 A3 122
2 A3 123
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# c6e4ccef
Energy: Metal
1 A1 225
1 A2 146
2 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3 085
1 A3 086
2 A3 122
2 A3 123
2 A3 144
2 P-A 005
2 P-A 007

# f9ca110b
Energy: Metal
1 A1 223
1 A1 225
1 A2 146
1 A2b 071
1 A2b 072
1 A3 066
2 A3 085
2 A3 122
2 A3 123
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007
