# 62e016ae
Energy: Water
1 A2 147
1 A2 155
1 A2a 072
2 A3 144
1 A3 151
1 A4a 017
2 A4a 020
1 A4a 067
1 B1 223
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# 6f54eba0
Energy: Water
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
1 A3 151
1 A4a 017
2 A4a 020
1 B1 225
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# 826a276f
Energy: Water
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
1 A4a 017
2 A4a 020
1 B1 225
1 B2 153
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# 85bdde1c
Energy: Water
1 A2 147
1 A2 150
1 A2 155
1 A2a 072
2 A3 144
1 A4a 017
2 A4a 020
1 B1 225
1 B2 154
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# 87eb7c90
Energy: Water
1 A1 220
1 A2 150
1 A2 155
1 A2a 072
2 A3 144
1 A4a 017
2 A4a 020
1 B1 219
1 B2 145
1 B2a 034
2 B2a 036
1 B2b 016
1 B2b 065
2 P-A 005
2 P-A 007

# 8a09e5ef
Energy: Water
1 A2 147
1 A2 150
1 A2b 070
2 A3 144
1 A4a 017
2 A4a 020
1 A4a 067
1 B1 225
1 B2 154
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# 94a9614e
Energy: Water
2 A1 089
1 A1 220
1 A2 147
2 A2 150
2 A3 144
1 A4 151
2 A4a 020
2 B1 071
1 B1 223
1 B1 225
1 B2b 015
1 B2b 016
1 B2b 065
2 P-A 007

# bac20b28
Energy: Water
2 A1 087
2 A1 089
2 A1 220
1 A2 147
1 A2 150
2 A3 144
1 A4 151
2 A4a 020
1 B2b 015
1 B2b 016
1 P-A 002
2 P-A 005
2 P-A 007

# c7f439e9
Energy: Water
1 A2 147
1 A2 150
1 A2 155
1 A2a 072
2 A3 144
1 A4a 017
2 A4a 020
1 A4a 067
1 B2 154
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# d3273c08
Energy: Water
1 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
1 A4a 017
2 A4a 020
1 B1 225
1 B2 154
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# e47bece4
Energy: Water
2 A2 147
1 A2 150
1 A2b 070
2 A3 144
1 A4a 017
2 A4a 020
1 A4a 067
1 B1 225
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# eb5c1864
Energy: Water
2 A2 147
1 A2 150
1 A2 155
1 A2b 070
2 A3 144
1 A4a 017
2 A4a 020
1 A4a 067
2 B2a 034
2 B2a 036
1 B2b 016
2 P-A 005
2 P-A 007

# f372c13a
Energy: Water
1 A1 225
2 A2 147
1 A2 150
1 A2 155
1 A3 144
1 A4a 017
2 A4a 020
1 A4a 067
1 B1 225
1 B2 154
1 B2a 034
1 B2a 036
1 B2a 037
1 B2b 016
2 P-A 005
2 P-A 007

# f5b872b9
Energy: Water
1 A2 150
1 A3 142
2 A3 144
1 A3 151
2 A4a 020
1 A4a 067
1 B1 225
2 B2a 034
2 B2a 036
1 B2b 015
1 B2b 016
1 B2b 065
2 P-A 005
2 P-A 007
