# 0918ca86
Energy: Grass
1 A1 087
1 A1 089
2 A3 010
1 A3 012
2 A3 144
2 A3 155
1 A3a 004
1 A3a 005
2 A3b 034
2 A3b 055
1 A3b 068
2 P-A 005
2 P-A 007

# 3f7a6d0f
Energy: Grass
1 A1 225
1 A2a 010
2 A3 010
2 A3 012
2 A3 144
1 A3 147
2 A3a 005
2 A3b 034
1 A3b 068
2 A4 134
2 P-A 005
2 P-A 007

# 567b64c3
Energy: Grass
2 A1 219
2 A3 010
2 A3 012
2 A3 144
2 A3 147
2 A3b 034
2 A3b 055
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# 7f5dfc1c
Energy: Grass
2 A3 010
2 A3 012
2 A3 144
2 A3 147
2 A3 155
1 A3a 005
2 A3b 034
2 A3b 055
2 P-A 005
1 P-A 006
2 P-A 007
