# 1db2b573
Energy: Psychic
2 A1 120
2 A1 122
1 A1 123
1 A2 147
1 A2 150
1 A2 155
2 A3 144
2 A3 155
2 A3b 034
2 A4 134
2 P-A 005
2 P-A 007

# 230324f5
Energy: Psychic
2 A1 120
1 A1 122
1 A1 123
1 A2 147
1 A2a 033
1 A2b 072
2 A3 144
2 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
1 P-A 006
2 P-A 007

# 2a78f55d
Energy: Psychic
2 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A1 225
1 A2 146
1 A2 150
1 A2a 033
2 A3 144
1 A3 155
2 A3b 034
2 A4 134
2 P-A 005
2 P-A 007

# 3087e739
Energy: Psychic
2 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A1 225
1 A2 150
1 A3 144
1 A3 151
1 A3 155
1 A3b 028
2 A3b 034
1 A4 101
2 A4 134
2 P-A 005
2 P-A 007

# 453fbdc5
Energy: Psychic
2 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A1 225
1 A2 070
1 A2 072
1 A2 150
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
1 P-A 005
1 P-A 006
2 P-A 007

# 664596ab
Energy: Psychic
2 A1 120
1 A1 122
1 A1 123
1 A2 147
1 A2a 033
1 A2b 070
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
1 A3b 067
2 P-A 005
1 P-A 006
2 P-A 007

# 6c3f6862
Energy: Psychic
2 A1 120
1 A1 122
1 A1 123
1 A2 070
1 A2 071
1 A2 072
1 A2 155
1 A2a 032
2 A3 144
2 A3b 034
2 A4 134
1 P-A 002
2 P-A 005
2 P-A 007

# 75ab3de0
Energy: Psychic
1 A1 122
1 A1 123
2 A1a 065
1 A2 150
2 A2a 031
1 A2a 032
1 A2b 069
2 A3 144
1 A3 155
2 A3b 034
2 A4 134
2 P-A 005
2 P-A 007

# 888cc4b7
Energy: Psychic
1 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A2 154
1 A2a 031
1 A2a 033
1 A2a 073
2 A3 144
1 A3 155
2 A3b 034
2 A4 134
1 P-A 002
2 P-A 005
2 P-A 007

# 93d37cbc
Energy: Psychic
2 A1 120
1 A1 122
1 A1 123
1 A1 225
1 A2 155
1 A2b 069
1 A3 077
2 A3 144
2 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# 94141d02
Energy: Psychic
1 A1 120
1 A1 121
1 A1 123
1 A1 225
1 A2 147
1 A2b 035
2 A2b 070
1 A3 144
1 A3 155
2 A3b 034
2 A3b 055
1 A3b 066
2 P-A 005
1 P-A 006
2 P-A 007

# 963e671f
Energy: Psychic
1 A1 120
1 A1 123
1 A2 070
1 A2 072
1 A2 147
1 A2 155
2 A3 144
2 A3 155
2 A3b 034
2 A4 077
2 A4 134
2 P-A 005
2 P-A 007

# 9d3aa10c
Energy: Psychic
2 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A1 225
1 A2 070
1 A2 072
1 A2 150
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# a3c63ac1
Energy: Psychic
2 A1 120
1 A1 121
1 A1 123
1 A1 225
1 A2 070
1 A2 072
1 A2 150
1 A2a 033
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007

# ad0d065b
Energy: Psychic
2 A1 120
1 A1 122
1 A1 123
1 A2 148
1 A2 150
1 A2b 070
1 A3 084
2 A3 144
2 A3b 034
1 A3b 055
1 A3b 056
1 P-A 002
2 P-A 005
1 P-A 006
2 P-A 007

# be4fd17a
Energy: Psychic
1 A1 120
1 A1 123
1 A2 070
1 A2 072
1 A2 147
1 A2 150
2 A3 144
2 A3 155
2 A3b 034
2 A4 077
2 A4 134
2 P-A 005
2 P-A 007

# c4c78729
Energy: Psychic
2 A1 120
2 A1 122
1 A1 123
1 A1 225
1 A2 147
1 A2 148
1 A2 150
1 A2 155
2 A3 144
2 A3b 034
2 B1 184
2 P-A 005
2 P-A 007

# dc291aee
Energy: Psychic
1 A1 120
1 A1 122
1 A1 123
1 A2 070
1 A2 072
1 A2 147
1 A2 150
1 A2a 031
1 A2a 033
2 A3 144
1 A3 155
2 A3b 034
1 A3b 055
1 A3b 056
1 P-A 005
2 P-A 007
1 P-A 020

# e4304b2c
Energy: Psychic
1 A1 122
2 A1 123
1 A2 150
1 A2a 073
2 A2b 070
2 A3 144
1 A3 151
1 A3 155
2 A3b 034
1 A3b 055
1 A4 134
1 B1 225
2 P-A 005
2 P-A 007

# e6217cac
Energy: Psychic
2 A1 120
2 A1 122
1 A1 123
1 A2 148
2 A3 144
1 A3 155
2 A3b 034
2 B1 184
2 B1 225
1 B2 155
2 P-A 005
2 P-A 007

# f1fd6299
Energy: Psychic
2 A1 120
2 A1 122
1 A1 123
1 A2 148
1 A2 150
1 A2 155
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
1 P-A 006
2 P-A 007

# fdc4e0dc
Energy: Psychic
2 A1 120
1 A1 121
1 A1 122
1 A1 123
1 A1 225
1 A2 070
1 A2 071
1 A2 150
2 A3 144
1 A3 155
2 A3b 034
2 A3b 055
2 P-A 005
2 P-A 007
