# 0bfb2076
Energy: Metal
1 A1 225
1 A2 150
2 A2b 052
2 A2b 054
1 A3 144
1 A3 155
2 A4 153
1 B1 225
2 B2 145
2 B2a 073
1 B2a 077
1 B3a 071
1 P-A 005
2 P-A 007

# b10facbc
Energy: Metal
1 A1 178
1 A1 203
1 A1 225
1 A1a 068
1 A2 146
2 A2 148
1 A2 150
2 A2b 052
2 A2b 053
2 A2b 054
1 A2b 069
1 A2b 072
2 P-A 005
2 P-A 007

# d26360d9
Energy: Metal
2 A2 146
2 A2 147
2 A2a 075
2 A2b 052
2 A2b 053
2 A2b 054
1 A2b 069
2 A2b 070
1 A2b 071
1 A2b 072
1 P-A 005
2 P-A 007

# e9d22fa0
Energy: Metal
2 A1 225
1 A2 147
1 A2 148
1 A2 150
2 A2a 075
2 A2b 052
2 A2b 053
2 A2b 054
1 A2b 069
1 A2b 070
2 A2b 071
1 P-A 001
2 P-A 007

# ede0a799
Energy: Metal
1 A1 225
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2a 075
2 A2b 052
2 A2b 053
2 A2b 054
1 A2b 069
1 A2b 070
1 A2b 071
1 A2b 072
1 P-A 001
1 P-A 005
2 P-A 007
