# 00fd6817
Energy: Psychic
1 A1 225
1 A1a 068
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
2 A2 152
1 A2 154
1 A2a 071
1 A2b 035
1 A2b 070
2 P-A 005
2 P-A 007

# 016a7c97
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 147
1 A2 148
2 A2 152
1 A2b 035
1 A2b 069
1 A2b 071
1 P-A 005
2 P-A 007

# 05e5e6cd
Energy: Psychic
1 A1 225
2 A2 063
1 A2 064
2 A2 065
1 A2 078
2 A2 147
1 A2 152
1 A2 154
1 A2b 035
1 A3 084
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007

# 2efa7125
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 148
2 A2 152
1 A2b 035
1 A2b 069
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 418b5610
Energy: Psychic
2 A2 063
1 A2 064
2 A2 065
1 A2 147
1 A2 150
1 A2 152
1 A2b 035
2 A3 144
1 A3 155
1 A4 070
1 B1 106
1 B1 225
1 B1 226
2 P-A 005
2 P-A 007

# 46e35094
Energy: Psychic
1 A2 064
2 A2 065
1 A2 147
1 A2 150
2 A2 152
1 A2b 035
2 A3 144
1 A4 075
2 A4 078
1 B1 225
1 B2 145
1 B2 155
2 P-A 005
2 P-A 007

# 4bbed083
Energy: Psychic
1 A1 127
1 A1 225
2 A2 063
2 A2 064
2 A2 065
2 A2 147
2 A2 152
1 A2b 035
1 A2b 069
1 A2b 070
1 P-A 002
2 P-A 005
2 P-A 007

# 571380fc
Energy: Psychic
2 A2 063
1 A2 064
2 A2 065
2 A2 147
2 A2 152
2 A2 154
1 A2b 035
1 A3 084
2 A3 144
1 P-A 002
2 P-A 005
2 P-A 007

# 59bd38e1
Energy: Psychic
1 A1 225
2 A2 063
1 A2 064
2 A2 065
2 A2 147
1 A2 150
1 A2 152
1 A2 155
1 A2b 035
1 A2b 070
1 A3 084
2 A3 144
2 P-A 005
2 P-A 007

# 7fdc4c91
Energy: Psychic
2 A2 063
2 A2 065
1 A2 147
1 A2 150
1 A2 152
1 A2b 035
1 A2b 069
1 A2b 071
2 A3 084
2 A3 144
1 A3 151
1 A3 155
2 P-A 005
2 P-A 007

# 82811501
Energy: Psychic
1 A1 225
2 A2 063
1 A2 064
2 A2 065
2 A2 147
2 A2 152
1 A2b 035
1 A2b 069
2 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 83ee4d24
Energy: Psychic
2 A2 063
1 A2 064
2 A2 065
1 A2 147
1 A2 150
2 A2 152
1 A2b 035
2 A3 084
2 A3 144
1 B2 145
1 B2 155
2 P-A 005
2 P-A 007

# 8daba2b4
Energy: Psychic
2 A2 063
1 A2 064
2 A2 065
1 A2 150
2 A2 152
1 A2b 035
2 A3 084
2 A3 144
1 B2 145
2 B2 155
2 P-A 005
2 P-A 007

# a2fb8e0d
Energy: Psychic
2 A2 063
2 A2 065
1 A2 147
1 A2 150
2 A2 152
1 A2b 035
2 A3 084
2 A3 144
1 B1 225
1 B2 145
1 B2 155
2 P-A 005
2 P-A 007

# c5b458e7
Energy: Psychic
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 152
1 A2 154
1 A2b 035
1 A2b 069
1 A2b 070
2 P-A 001
2 P-A 005
2 P-A 007

# c9aee1b1
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
2 A2 152
1 A2 154
1 A2b 035
1 A2b 070
1 P-A 002
2 P-A 005
2 P-A 007

# d93594f2
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
2 A2 147
1 A2 148
1 A2 150
2 A2 152
1 A2b 035
1 A2b 070
1 P-A 002
2 P-A 005
2 P-A 007

# de1fc020
Energy: Psychic
1 A1 225
1 A1a 068
2 A2 063
1 A2 064
2 A2 065
1 A2 146
1 A2 147
2 A2 152
1 A2b 035
1 A2b 069
1 A3 084
2 A3 144
2 P-A 005
2 P-A 007

# e5c79065
Energy: Psychic
1 A1 225
2 A2 063
1 A2 064
2 A2 065
1 A2 147
1 A2 150
2 A2 152
1 A2b 035
1 A3 077
1 A3 084
2 A3 144
2 A3 155
1 P-A 005
2 P-A 007

# ecd1e517
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2 155
1 A2b 035
1 A2b 071
2 P-A 005
2 P-A 007

# eff808ab
Energy: Psychic
1 A1 223
1 A1 225
1 A1a 068
2 A2 063
2 A2 064
2 A2 065
1 A2 147
1 A2 148
1 A2 150
1 A2 152
1 A2 154
1 A2b 035
1 A2b 070
1 A2b 071
1 A2b 072
1 P-A 005
1 P-A 007

# f446475c
Energy: Psychic
1 A1 225
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 A2b 035
2 A2b 070
1 A2b 071
2 P-A 005
2 P-A 007
