# 09049e81
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
1 A2 148
2 A2 152
2 P-A 005
2 P-A 007

# 09fd6640
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 147
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 0ce76fa2
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 147
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 0fe9bb5d
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
1 A2 064
2 A2 065
2 A2 147
1 A2 150
2 A2 152
1 A2 155
2 A3 144
2 P-A 005
2 P-A 007

# 0ffd1e94
Energy: Psychic
2 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 152
2 P-A 005
2 P-A 007

# 18176e56
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
2 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# 1bab30e5
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2a 073
2 P-A 005
2 P-A 007

# 1bf905b3
Energy: Psychic
2 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 152
2 P-A 005
2 P-A 006
2 P-A 007

# 1e2ac652
Energy: Psychic
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 148
2 A2 152
1 A3 144
2 A3 155
2 P-A 005
2 P-A 007

# 1ed3acac
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 152
1 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 1fd0d9c4
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 147
2 A2 152
2 P-A 005
2 P-A 007

# 2441c2bc
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 079
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 P-A 001
1 P-A 005
2 P-A 007

# 2b283cc0
Energy: Psychic
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 147
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 2c2435eb
Energy: Psychic
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 2e0b48e8
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
1 A2 063
2 A2 065
2 A2 148
1 A2 150
2 A2 152
2 A3 144
1 A3 155
1 A4 078
2 P-A 005
2 P-A 007

# 2eb0773d
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 152
2 P-A 001
2 P-A 005
2 P-A 007

# 32d21a06
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 079
1 A2 146
1 A2 147
1 A2 150
1 A2 152
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 38e02caf
Energy: Psychic
2 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 147
2 A2 148
2 A2 152
2 P-A 005
2 P-A 007

# 38e9cf49
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
1 A2 152
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 3a6d2fe7
Energy: Psychic
2 A1a 033
2 A1a 065
2 A2 063
2 A2 065
2 A2 146
2 A2 147
2 A2 152
2 A3 144
2 P-A 005
2 P-A 007

# 3a7bb6ef
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 147
1 A2 150
2 A2 152
1 A2 155
2 P-A 005
2 P-A 007

# 4167705e
Energy: Psychic
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 147
2 A2 152
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# 43114367
Energy: Psychic
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 147
1 A2 150
2 A2 152
1 P-A 001
2 P-A 005
2 P-A 007

# 43caf7fd
Energy: Psychic
2 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
2 A2 147
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# 448a633e
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
2 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 152
2 P-A 005
1 P-A 006
2 P-A 007

# 45740eb7
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
2 A2 146
2 A2 152
2 P-A 005
2 P-A 007

# 4c4f94c6
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 54955b86
Energy: Psychic
1 A1 127
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 5561eadf
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 148
2 A2 152
1 P-A 001
2 P-A 005
2 P-A 007

# 55d33c16
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 148
1 A2 150
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 562f5ba8
Energy: Psychic
1 A1 225
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# 5673665d
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
1 A2 064
2 A2 065
1 A2 147
2 A2 152
1 A2b 069
1 A3 077
2 A3 144
2 P-A 005
1 P-A 006
2 P-A 007

# 5c57ff16
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 A2b 070
2 P-A 005
2 P-A 007

# 5cf7a2a5
Energy: Psychic
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 147
2 A2 152
2 P-A 005
2 P-A 007

# 5da29408
Energy: Psychic
1 A1 127
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 5dc9408f
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
2 A2 147
1 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 63d20cae
Energy: Psychic
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
2 A2 152
1 P-A 001
2 P-A 005
2 P-A 007

# 65c0179c
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
2 A2 146
2 A2 147
2 A2 152
1 A2 155
2 P-A 005
2 P-A 007

# 669cad0c
Energy: Darkness, Psychic
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
2 A2 147
2 A2 150
1 A2 152
2 P-A 005
2 P-A 007

# 673ad6dd
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
1 A2 147
2 A2 148
1 A2 150
2 A2 152
2 P-A 005
2 P-A 007

# 6784aebe
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
1 A2 064
2 A2 065
2 A2 147
2 A2 152
1 A2 155
2 A3 144
1 A3 155
2 P-A 005
2 P-A 007

# 68ead0a5
Energy: Psychic
1 A1 225
2 A1a 033
1 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 078
1 A2 146
2 A2 147
2 A2 152
2 P-A 005
2 P-A 007

# 6a21ca40
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 147
2 A2 148
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 6ec20449
Energy: Psychic
1 A1 225
2 A1a 033
2 A2 063
2 A2 064
2 A2 065
1 A2 146
2 A2 147
1 A2 150
2 A2 152
1 P-A 002
2 P-A 005
2 P-A 007

# 6ffbcadd
Energy: Psychic
2 A1a 033
2 A1a 065
2 A2 063
2 A2 064
2 A2 065
1 A2 147
1 A2 148
1 A2 150
