# 75939d83
Energy: Fire
1 A1 225
1 A2 146
2 A2 147
2 A3 037
2 A3 133
1 A3 134
2 A3 135
2 A3 144
2 A3 150
1 A3 151
2 P-A 005
2 P-A 007

# 77462e81
Energy: Fire
1 A1 225
2 A2 147
1 A2 148
1 A2 150
2 A3 037
2 A3 133
1 A3 134
2 A3 135
2 A3 144
2 A3 150
2 P-A 005
2 P-A 007

# 87d25a13
Energy: Fire
1 A1 223
1 A1 225
1 A2 148
1 A2 150
1 A2 155
1 A2b 070
2 A3 037
2 A3 133
2 A3 135
2 A3 144
2 A3 150
2 P-A 005
2 P-A 007

# a44a62b2
Energy: Fire
2 A2 147
1 A2 150
1 A2b 069
2 A3 037
2 A3 133
2 A3 135
2 A3 144
2 A3 149
2 A3 150
1 A3 155
1 P-A 005
2 P-A 007

# c241bdc0
Energy: Fire
1 A1 225
1 A2 147
1 A2 148
1 A2 150
2 A3 037
2 A3 133
1 A3 134
2 A3 135
2 A3 144
2 A3 150
1 A3 151
2 P-A 005
2 P-A 007

# c9464c03
Energy: Fire
1 A1 225
2 A2 148
1 A2 150
2 A3 037
2 A3 133
1 A3 134
2 A3 135
2 A3 144
2 A3 150
1 A3 155
2 P-A 005
2 P-A 007

# c946b9e0
Energy: Fire
1 A1 225
1 A2 147
1 A2 150
1 A2 155
2 A3 037
2 A3 133
1 A3 134
2 A3 135
2 A3 144
2 A3 150
1 A3 151
2 P-A 005
2 P-A 007
