# 01637744
Energy: Water
1 A2 150
1 A2a 072
2 A3 144
2 B1 056
2 B1 057
1 B1 219
2 B1 225
1 B2 145
2 B2a 034
2 B2a 036
2 P-A 005
2 P-A 007

# 1c20cc0a
Energy: Water
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 219
2 B1 225
1 B2 040
2 B2a 034
2 B2a 036
2 P-A 005
2 P-A 007

# 228a5521
Energy: Water
1 A1 225
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
1 B3 152
1 B3a 071
2 P-A 005
2 P-A 007

# 35c8106d
Energy: Water
1 A1 045
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
2 B3 152
2 P-A 005
2 P-A 007

# 49e6a94e
Energy: Water
1 A2 150
1 A2a 072
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
2 B3 152
2 P-A 005
2 P-A 007

# 62630c62
Energy: Water
2 A3 144
2 B1 056
2 B1 057
1 B1 219
2 B1 225
2 B2a 034
2 B2a 036
1 B2b 069
1 B3b 065
1 P-A 002
2 P-A 005
2 P-A 007

# 6d9004fa
Energy: Water
1 A2 150
1 A2a 072
2 A3 144
2 B1 056
2 B1 057
1 B1 219
1 B1 225
1 B2 040
1 B2 145
2 B2a 036
2 P-A 005
2 P-A 007
2 P-B 037

# 7832bdba
Energy: Water
2 A3 144
2 B1 056
2 B1 057
2 B1 219
1 B1 225
2 B2 145
2 B2a 034
2 B2a 036
1 B3 152
2 P-A 005
2 P-A 007

# 966f2d07
Energy: Water
2 A3 144
1 A4a 021
1 A4a 022
2 B1 056
2 B1 057
1 B1 219
1 B1 225
2 B2a 034
2 B2a 036
2 B3 152
2 P-A 005
2 P-A 007

# 9c02e445
Energy: Water
1 A1 225
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
2 B3 152
2 P-A 005
2 P-A 007

# a9fe9c05
Energy: Water
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 219
1 B1 225
2 B2 145
2 B2a 034
2 B2a 036
2 P-A 005
2 P-A 007

# b0a5055c
Energy: Water
1 A2 150
1 A2a 072
2 A3 144
1 A4a 067
2 B1 056
2 B1 057
1 B1 219
2 B1 225
2 B2a 034
2 B2a 036
2 P-A 005
2 P-A 007

# b9be8fd5
Energy: Water
1 A1 220
1 A2 150
1 A2b 070
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
1 B3b 020
2 P-A 005
2 P-A 007

# bbd61a40
Energy: Water
1 A2 050
1 A2 150
2 A3 144
2 B1 056
2 B1 057
2 B1 225
2 B2a 034
2 B2a 036
2 B3 152
2 P-A 005
2 P-A 007

# f8e8496c
Energy: Water
1 A2 150
1 A2a 072
2 A3 144
2 B1 056
2 B1 057
2 B1 219
2 B1 225
2 B2a 034
2 B2a 036
2 P-A 005
2 P-A 007
