# 1ca345e1
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
1 A2 146
1 A2 147
1 A2 150
2 A2b 018
2 A2b 019
1 A2b 069
2 P-A 005
2 P-A 007

# 1e0ee5e2
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1 220
2 A2 146
2 A2 147
2 A2b 018
2 A2b 019
2 P-A 005
2 P-A 007

# 2b950953
Energy: Water
1 A1 089
2 A1 220
1 A2 050
1 A2 147
1 A2 148
1 A2 150
2 A2a 072
2 A2b 018
2 A2b 019
1 A3 144
1 B1 071
1 P-A 002
2 P-A 005
2 P-A 007

# 2c6f1574
Energy: Water
2 A1 087
2 A1 089
1 A1 220
1 A2 146
2 A2 147
2 A2a 072
2 A2b 018
2 A2b 019
2 A3 144
2 P-A 005
2 P-A 007

# 8fa98cd4
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1 220
2 A1a 056
1 A2 146
2 A2b 018
2 A2b 019
1 A2b 069
2 P-A 005
2 P-A 007

# 9103daf0
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1 220
2 A1a 056
2 A2b 018
2 A2b 019
1 A2b 069
1 A2b 072
2 P-A 005
2 P-A 007

# a6d639c7
Energy: Water
2 A1 087
2 A1 088
2 A1 089
1 A1 220
2 A1a 056
1 A2 146
1 A2 147
2 A2b 018
2 A2b 019
1 A2b 069
2 P-A 005
2 P-A 007

# d04d535e
Energy: Water
2 A1 087
2 A1 089
1 A2 146
1 A2 147
1 A2 150
1 A2a 072
2 A2b 018
2 A2b 019
1 A2b 035
1 A3 066
2 A3 144
2 P-A 005
2 P-A 007

# f8bfad80
Energy: Water
2 A1 087
2 A1 088
2 A1 089
2 A1a 056
1 A2 146
1 A2 147
1 A2 150
2 A2b 018
2 A2b 019
1 A2b 069
2 A2b 111
2 P-A 007
