# 244f3564
Energy: Fighting
2 A1 154
1 A1 198
1 A1 225
2 A1a 047
2 A2 006
2 A2 007
1 A2 146
1 A2 147
1 A2 148
1 A2 150
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 2778ab15
Energy: Fighting
2 A1 154
1 A1 198
1 A1 225
1 A1a 047
1 A2 006
2 A2 007
1 A2 146
2 A2 147
1 A2 150
1 A2 154
1 A2 155
2 P-A 002
2 P-A 005
2 P-A 007

# 4440f854
Energy: Fighting
2 A1 154
1 A1 155
1 A1 223
2 A1 225
1 A1a 047
2 A2 006
2 A2 007
1 A2 146
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 6f915aab
Energy: Fighting
2 A1 154
2 A2 006
2 A2 007
2 A2 104
2 A2 147
2 A2 148
2 A2 150
1 A2 155
1 P-A 002
2 P-A 005
2 P-A 007

# 8a70cf6a
Energy: Fighting
2 A1 154
1 A1 155
1 A1 223
2 A1a 047
2 A2 006
2 A2 007
2 A2 147
1 A2 148
2 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 9b379e72
Energy: Fighting
2 A1 154
1 A1 155
2 A1 225
1 A1a 047
2 A2 006
2 A2 007
1 A2 146
2 A2 154
1 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# a4e9b0f3
Energy: Fighting
2 A1 154
2 A1 203
2 A1 219
1 A1a 068
2 A2 006
2 A2 007
1 A2 146
1 A2 147
2 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# a954a816
Energy: Fighting
2 A1 154
1 A1 219
2 A2 006
2 A2 007
2 A2 146
1 A2 148
2 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# cba6883c
Energy: Fighting
2 A1 154
2 A1a 047
2 A2 006
2 A2 007
1 A2 146
1 A2 147
2 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# cbf22975
Energy: Fighting
2 A1 154
1 A1 155
1 A1 223
1 A1 225
1 A1a 047
2 A2 006
2 A2 007
2 A2 154
2 P-A 001
2 P-A 002
2 P-A 005
2 P-A 007

# d22399eb
Energy: Fighting
2 A1 154
1 A1 155
1 A1 225
1 A1a 047
2 A2 006
2 A2 007
1 A2 146
2 A2 147
1 A2 150
1 A2 154
2 P-A 002
2 P-A 005
2 P-A 007
