# 012a9d1d
Energy: Metal
2 A1 098
2 A2 006
1 A2 007
2 A2 051
1 A2 053
2 A2 111
1 A2 146
1 A2 147
2 A2 148
1 A2 150
1 P-A 002
2 P-A 005
2 P-A 007

# 0c4cbb5e
Energy: Water
1 A1 097
1 A1 098
1 A1 223
1 A1a 068
1 A2 006
1 A2 007
2 A2 050
1 A2 053
2 A2 146
1 A2 148
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# 113d7989
Energy: Fire, Water
2 A1 098
1 A1 225
2 A1a 056
2 A2 006
2 A2 007
2 A2 051
2 A2 053
2 A2 147
1 A2 150
2 P-A 005
2 P-A 007

# 1bedc0a8
Energy: Water
2 A1 098
2 A2 006
2 A2 007
1 A2 022
1 A2 049
2 A2 050
1 A2 051
1 A2 053
1 A2 146
1 A2 150
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 227606ab
Energy: Psychic
2 A1 098
1 A1 225
2 A2 006
2 A2 007
2 A2 051
2 A2 053
2 A2 078
1 A2 146
2 A2 154
2 P-A 005
2 P-A 007

# 26e4b2d6
Energy: Water
2 A1 098
1 A1 219
2 A2 006
2 A2 007
2 A2 050
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 150
2 P-A 005
2 P-A 007

# 27b78d39
Energy: Fire, Water
2 A1 098
1 A1 225
2 A1a 056
1 A1a 068
2 A2 006
2 A2 007
2 A2 051
2 A2 053
1 A2 147
1 A2 150
2 P-A 005
2 P-A 007

# 4187b98a
Energy: Lightning
2 A1 098
1 A1 223
1 A1 225
2 A2 006
2 A2 007
2 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 150
1 A2 154
2 P-A 005
2 P-A 007

# 55617471
Energy: Lightning
2 A1 098
1 A1 203
2 A1 205
1 A1 225
1 A2 006
2 A2 007
1 A2 051
2 A2 053
1 A2 146
1 A2 147
1 A2 154
1 P-A 002
2 P-A 005
2 P-A 007

# 64678d44
Energy: Lightning
2 A1 097
2 A1 098
1 A1 225
2 A2 006
2 A2 007
1 A2 017
2 A2 053
1 A2 150
2 A2 154
2 P-A 002
1 P-A 005
2 P-A 007

# 7f40c42b
Energy: Water
2 A1 098
2 A1 219
1 A1 225
2 A2 006
2 A2 007
2 A2 051
2 A2 053
2 A2 147
1 A2a 072
2 P-A 005
2 P-A 007

# 86756bd9
Energy: Fire, Water
2 A1 098
1 A1 219
1 A1 225
2 A1a 056
2 A2 006
2 A2 007
2 A2 051
1 A2 053
1 A2 146
1 A2 148
1 A2 150
2 P-A 005
2 P-A 007

# 98d56cb1
Energy: Lightning
2 A1 097
2 A1 098
2 A2 006
2 A2 007
