# 761bc116
Energy: Lightning
1 A1 223
2 A1 225
1 A1a 032
1 A1a 068
2 A2 006
2 A2 007
2 A2 061
1 A2 146
2 A2 147
1 A2 148
1 A2 154
2 P-A 005
2 P-A 007

# b1192e94
Energy: Lightning
2 A2 006
2 A2 007
2 A2 061
2 A2 104
2 A2 147
1 A2 148
1 A2 150
2 A2 154
2 P-A 002
2 P-A 005
2 P-A 007

# c905a515
Energy: Lightning
1 A1 225
2 A2 006
2 A2 007
2 A2 061
1 A2 146
2 A2 147
1 A2 148
1 A2 150
1 A2 154
2 P-A 001
1 P-A 002
2 P-A 005
2 P-A 007

# f6f206c9
Energy: Fire, Lightning, Water
1 A1 219
2 A1a 056
2 A1a 068
2 A2 006
2 A2 007
2 A2 061
2 A2 147
2 A2 148
1 A2 150
2 P-A 005
2 P-A 007
